5000 3598
1165 4808 30
3347 1038 59
4655 3601 41
3806 1716 42
84 554 30
2317 3047 42
1716 1224 32
976 537 86
547 2370 68
357 3550 35
3754 4659 69
704 779 25
4455 1696 26
188 3971 75
2701 900 56
4042 2614 62
4711 740 19
1104 997 58
3669 4104 44
1693 3609 55
3530 3276 37
3558 4094 50
1046 1304 58
177 714 51
218 3278 31
3368 1955 44
2184 4626 32
3076 41 83
1341 4664 5
2892 4148 57
1758 14 74
22 4414 82
2080 2846 78
938 2471 33
554 4026 47
4258 2767 59
51 2962 67
1875 2105 39
1938 2819 19
1774 2375 51
4178 510 21
390 3811 49
3282 2421 99
1742 709 34
4727 1980 53
3550 974 60
535 1295 44
3886 2394 77
1326 2781 27
4346 1301 12
3049 1112 74
4626 1169 9
3992 1424 32
2132 4251 7
4545 2521 38
3721 3889 73
3340 1335 93
1790 1144 33
40 2072 55
1274 1458 76
84 2933 72
1857 2273 81
390 2018 69
4947 1499 5
4258 700 29
3923 2755 5
3927 2405 33
3567 3279 59
1378 545 26
4125 2437 86
2779 733 83
2549 3562 37
168 4213 92
3704 4974 79
1537 2618 44
482 2935 91
2110 3203 73
3678 2409 89
4165 2353 26
1224 88 25
4258 2535 67
4530 2335 41
914 620 50
834 1544 68
4023 2709 42
3047 4464 57
3071 2229 38
1432 860 62
2946 1701 16
4258 4041 19
2011 1572 48
2355 3436 98
2285 4193 14
3382 623 67
4969 2384 31
4320 3250 58
1423 4509 6
3534 4862 47
4332 472 99
636 4829 9
2957 4339 19
2992 4044 36
3422 3394 76
1994 1896 73
181 1608 37
4910 2077 78
214 4348 96
1169 3926 43
2781 1958 13
3191 2856 61
2730 911 39
1150 4028 43
4917 2115 24
1282 1885 5
3261 3064 12
2120 1437 100
3579 2228 65
1038 2150 95
3332 4045 68
2413 1769 46
4885 4067 33
900 1496 92
2471 189 2
807 1509 20
3808 3748 75
4180 1081 76
3669 3839 27
2792 1546 24
287 1883 100
3843 4747 67
627 4308 89
3396 4705 70
4106 4943 46
1909 2500 12
3026 3633 99
2285 3773 13
246 13 5
22 3869 78
3962 3402 1
834 1897 3
1099 734 86
2372 596 63
3181 241 76
22 3099 5
4736 2434 32
2699 3042 60
4715 4577 98
4977 3901 76
1089 4053 9
655 1584 42
574 1527 75
4659 12 32
2503 2776 55
4602 2953 95
3413 3775 28
3472 1369 29
1637 1695 84
2526 3017 2
627 871 99
234 456 77
3782 1179 45
3775 404 10
1527 2133 86
1371 4205 98
2889 2579 45
3042 1562 20
963 3544 24
2792 2991 70
2344 3975 36
1522 2577 44
4165 2691 91
4196 2445 45
1778 516 27
4917 666 39
4761 1918 35
2770 3215 85
18 3202 98
4639 2506 91
4001 1728 97
3633 4541 84
2288 1087 31
181 2255 77
1772 4027 9
4581 697 66
1282 3085 53
84 4722 95
18 343 44
4309 3824 61
2364 2360 47
3334 4742 9
369 2176 99
1548 3302 98
2660 355 85
1012 311 9
2047 4905 76
4944 1678 21
2669 4257 8
505 3108 7
2220 3100 29
4339 2156 67
1778 2897 69
1012 1493 34
4029 1231 15
2633 1813 12
3832 2677 65
2184 4704 37
4916 3920 29
4307 1993 8
2221 3210 89
2128 2705 56
2506 1028 18
4180 3045 19
267 4690 69
2122 1079 38
3678 3016 21
3548 736 71
3539 2597 3
1165 2337 45
713 1405 57
625 1697 21
1371 1070 28
2634 2095 93
736 4580 21
4969 2851 19
829 4844 63
2091 3500 37
77 4118 37
1224 1392 44
3081 3040 48
495 3155 86
975 2030 91
4862 368 69
545 4723 22
4531 4684 97
369 3623 9
2405 4979 82
3345 3178 72
357 338 30
2300 4311 100
1584 4394 57
3504 2737 8
1050 4852 87
243 2562 96
2936 3015 72
378 1196 99
2133 4906 31
2472 1313 48
420 3728 73
5 4924 96
1598 1309 14
3601 2822 36
2966 2346 50
1932 2162 43
189 2900 76
1179 4354 60
977 728 59
3040 3359 86
3030 28 22
3150 2751 18
779 298 96
1296 2637 97
4074 2444 100
1803 2920 4
4006 4078 96
1980 2074 79
3781 4325 53
3567 3646 98
3901 2961 20
4581 3389 35
2327 2213 18
4937 1603 1
3250 2397 52
3574 2675 60
4104 3022 34
4664 4093 48
3758 1660 31
1615 4686 73
1675 4204 35
3537 4288 19
2666 1529 54
597 2027 1
2861 826 77
4023 3434 41
2401 1268 80
1458 4136 14
2856 3844 95
2946 4564 87
2764 854 67
2544 1511 37
3887 4783 29
2986 213 100
1840 3426 65
1428 2708 99
1219 5000 21
2846 21 28
3434 1764 17
3316 2000 25
3051 3132 94
2389 498 51
4647 760 69
1938 3372 11
4963 4496 68
2285 3449 8
1129 3710 66
2788 1783 54
3442 4523 28
4995 3608 60
2384 1945 45
2061 2233 93
4690 1181 57
1293 2131 90
2544 2753 80
217 3032 93
2927 4390 73
3932 2619 37
2832 2340 79
172 3527 31
1790 1014 95
4045 847 32
4274 3822 84
443 2803 63
4995 2902 28
1196 3838 75
3696 2462 80
3651 4582 37
1956 3894 46
1813 1468 89
1945 3175 74
2490 2998 72
4715 4827 16
4023 2306 45
3030 3399 13
4510 344 43
655 1175 15
4820 2107 4
4450 3701 100
4020 3152 80
514 2636 52
3032 460 38
2967 3213 16
4463 813 99
1496 2592 97
40 919 32
2568 2099 47
83 4592 44
654 3498 42
3372 2408 53
773 2654 57
3844 3724 68
1220 2516 37
1 3742 79
4757 3109 96
309 3586 74
499 3778 32
2239 1543 64
3920 2748 29
4321 1763 85
3495 4927 47
1099 687 1
1293 2658 97
898 1077 4
738 3482 18
1276 4576 28
960 4230 83
506 56 46
3889 798 14
1129 870 14
3302 1137 5
4056 1710 55
1046 2970 35
1463 2559 76
1862 1766 14
1274 769 88
3403 4460 62
3503 619 62
4720 3969 11
1137 3023 56
3504 1839 32
1203 4753 16
1696 4758 1
1855 2759 68
1696 3488 83
3611 3582 50
3042 1135 46
3189 4799 55
4196 424 57
1566 147 21
3758 1495 35
3567 4301 46
3202 35 92
4106 4155 77
655 2486 2
522 467 58
2142 1797 72
3406 2062 70
1728 2211 1
1371 2993 57
713 3753 10
1472 70 68
3782 3705 59
3049 1122 52
2000 2798 17
1528 1018 17
1760 2589 68
1852 2324 29
4720 2771 37
771 3995 33
2445 4456 49
4937 1917 22
3189 3179 83
3849 3485 28
4104 1963 70
1018 1385 61
2408 1704 73
3781 3861 81
2764 4449 24
4380 1026 37
237 3300 63
970 677 70
2690 2754 76
4274 3173 67
4106 3851 32
1463 3489 20
299 4983 30
1480 1886 59
1832 1390 69
218 985 8
4897 229 61
4523 3263 84
3958 2236 19
1742 3267 88
3071 3387 18
1550 1898 48
4342 4776 27
413 4565 30
243 3028 64
1548 1213 8
3526 1439 4
3503 2438 75
2781 3490 7
156 1101 96
2043 4082 8
2557 4014 70
2344 840 21
3085 3937 78
525 1654 29
991 4171 36
2401 3497 58
3064 4845 79
3720 2872 52
4757 3268 67
3952 1316 19
1692 2845 61
1616 3397 69
3962 3148 43
1766 643 8
3267 3580 49
3028 4729 51
4042 337 58
1135 4898 36
4816 3408 74
814 3785 43
563 169 46
1276 2817 19
4577 4992 42
3758 996 34
4979 2420 87
4959 4031 88
2708 4796 69
51 4689 61
1031 4883 18
1136 2406 36
1847 722 69
4798 3052 11
3754 2033 18
2107 3417 43
4898 4517 48
3359 884 48
1423 4567 2
12 3768 28
623 1644 27
1654 1812 46
1678 703 5
4184 4813 29
4692 4164 26
285 972 39
1104 1291 72
32 3779 46
3346 4170 37
4441 3162 39
3085 4075 79
2913 4268 67
500 1239 94
1841 281 72
2782 1338 40
1909 1609 14
2060 130 41
3849 2217 60
1107 3946 84
1574 1831 83
4188 3686 47
526 1373 37
1264 3799 75
4020 4262 74
970 4235 56
864 2794 34
505 1285 85
3988 3295 23
4798 1554 96
3927 881 50
4450 2880 33
218 257 22
1841 4914 84
3946 399 76
2218 2152 76
4852 1207 100
3738 174 4
1489 2610 3
79 763 13
217 2279 48
2332 4919 6
1851 1323 8
1050 1013 72
991 839 45
829 616 72
4026 3336 60
565 140 28
344 1703 75
1978 3979 95
543 4277 64
2128 2161 10
4414 1002 42
2629 4879 85
363 1167 50
2664 1661 81
4677 3999 24
3120 2864 60
3026 1530 43
2152 2470 95
3894 4872 66
1468 4461 76
2375 2171 32
297 3228 29
1538 288 10
1660 123 87
2646 4768 88
4789 4283 72
4053 553 79
4816 1409 10
2191 4823 67
1307 183 27
688 1284 61
2670 1376 32
3962 2912 61
4380 2489 92
1945 2309 92
3179 2147 83
4711 300 15
2413 1015 42
4079 3673 88
977 2242 31
4054 518 36
72 4569 38
4530 3693 33
4231 198 49
3678 2325 79
401 4428 10
801 3510 92
490 3102 14
823 2983 51
2027 4571 29
3926 3314 3
1566 49 58
3478 1737 49
2237 592 85
1751 3538 90
3970 2601 85
288 1787 83
3282 291 43
4125 4586 22
1219 2019 20
4086 3757 32
2107 1821 93
2019 1633 50
1819 2683 31
4589 2402 72
1572 4479 37
595 2815 2
4119 3931 75
1540 1265 18
3931 3866 69
3550 1003 5
1018 2825 18
839 210 20
557 81 66
2895 4033 52
1604 221 26
204 2982 8
4173 2298 51
2237 4310 60
3815 4237 88
1891 3363 46
3236 1827 63
3236 208 38
3530 3419 77
3763 4318 79
837 4302 33
3899 2890 85
3107 4406 49
3502 4502 26
204 1494 7
1880 264 24
3203 3695 89
1373 142 55
3081 1694 66
728 1824 26
3996 2143 59
1598 1926 99
2075 3749 11
4722 710 22
3926 1809 46
2633 646 39
1362 993 89
1210 4735 2
2526 1114 28
4731 269 92
3340 2262 70
4072 570 93
771 3171 61
2273 2145 91
2052 1043 47
553 2959 26
4782 112 62
2705 4891 63
4938 3997 84
2677 792 92
2577 4134 38
826 3020 7
1437 1571 24
4588 659 81
4814 1199 10
130 2929 96
1542 669 13
897 752 24
738 4923 72
363 1351 8
4929 4374 45
369 356 89
765 3657 40
4789 1190 33
1123 3922 98
3997 4154 11
1653 680 68
537 2447 34
4180 1051 34
3123 2064 23
4782 4858 95
4589 4687 86
1654 1519 36
4963 3640 83
3015 1843 17
3580 1873 27
603 3294 42
871 3197 5
1946 1650 27
629 3638 75
1285 4633 47
1720 3325 21
3472 3193 100
3502 2203 2
1104 1844 26
4223 4151 3
4744 4275 37
2506 1662 2
390 3307 44
4086 2048 72
3382 1887 29
3984 741 21
3394 4627 45
4258 865 17
298 641 10
562 1192 29
4579 2612 35
997 4795 60
898 2674 90
2405 4051 61
2218 1280 95
793 852 66
1468 4764 2
4860 4850 33
3408 1305 35
1797 3505 72
4799 2572 60
4510 1954 45
4967 1191 85
1423 550 25
1385 1157 61
4728 209 33
1274 2976 64
1056 3879 48
3871 630 49
131 2871 36
1136 3131 93
3808 4836 99
1696 3420 24
4551 3240 77
3955 4871 63
4833 992 69
2021 1019 32
4287 1361 1
2332 339 69
1284 260 78
839 3407 25
214 2390 13
3932 2631 7
2064 45 18
2709 4030 40
3927 1516 42
4937 3494 37
2095 3271 37
2402 3684 85
1391 2704 28
636 1823 62
4833 1944 35
2934 896 72
1819 572 11
4078 1076 24
3394 2170 72
1723 4931 24
1710 65 35
4798 1838 30
4006 2138 32
2913 1075 4
1827 1234 48
1885 3840 66
1695 1900 67
760 3637 63
2018 4264 66
3678 2126 20
570 846 28
1516 4129 56
1814 2969 61
4335 1817 75
3492 4831 45
4239 1058 24
2976 672 57
1012 2884 63
1392 888 33
1062 236 89
2526 2586 3
4275 2652 37
4205 2442 8
2257 2964 59
156 821 26
4747 373 98
