1000 656
142 805 31
379 146 49
260 476 73
216 263 40
81 443 16
680 713 54
849 305 31
735 444 78
784 571 80
712 988 12
981 145 25
150 718 60
940 25 86
981 211 8
2 15 5
177 495 71
147 842 49
378 905 55
456 468 65
29 846 69
939 966 36
52 938 61
546 10 8
529 365 37
110 68 10
251 369 35
185 770 31
846 586 64
787 116 27
973 543 61
753 349 79
711 254 31
364 274 98
724 166 64
429 437 67
999 504 3
816 339 29
497 878 42
81 598 74
388 143 14
729 927 83
733 943 36
902 135 62
176 882 34
788 641 90
267 196 54
415 377 77
787 501 56
125 911 53
891 418 26
183 984 43
848 268 48
339 159 69
805 352 97
34 341 81
238 139 27
888 726 15
788 517 49
665 48 27
275 330 6
465 655 82
310 485 40
95 967 35
166 359 20
174 4 99
274 559 35
717 458 85
743 62 19
539 229 29
513 53 82
472 436 25
283 944 87
902 673 76
9 834 43
668 491 85
437 358 98
806 734 91
125 982 59
268 537 10
98 921 41
923 205 52
143 730 75
914 637 59
328 92 17
984 286 21
519 808 72
836 198 49
187 651 15
134 520 80
539 512 85
275 960 36
23 431 55
554 558 46
336 403 38
542 21 13
578 920 65
869 601 75
285 316 87
746 484 80
329 338 5
44 678 1
493 486 97
590 824 92
634 494 3
322 751 98
216 722 83
616 579 92
726 779 42
357 27 56
802 426 32
258 481 29
971 303 99
72 994 2
124 115 75
103 817 17
74 830 11
419 222 10
955 395 64
751 593 20
29 583 6
10 18 67
300 557 67
518 566 51
733 773 59
616 642 74
590 306 69
295 629 62
313 854 76
830 332 73
313 408 13
229 803 18
289 280 7
784 276 24
958 170 82
730 689 44
655 755 7
357 194 24
753 212 91
401 845 44
644 826 96
637 754 1
972 478 13
715 492 12
378 978 13
709 615 11
539 705 19
656 935 62
728 851 89
850 829 78
634 3 79
659 335 12
960 405 72
238 737 40
54 422 91
146 562 32
285 690 73
490 588 93
679 877 91
981 998 99
868 432 55
318 932 50
801 654 79
770 206 2
365 24 81
797 106 14
756 182 69
404 111 80
279 606 62
537 262 32
907 775 42
995 604 77
604 667 11
124 933 18
355 677 5
286 164 23
19 374 7
229 965 91
929 575 2
807 503 26
205 866 45
312 113 14
598 334 36
300 892 61
613 397 63
946 398 96
65 57 62
642 41 84
562 284 13
486 884 6
851 309 82
493 199 84
288 321 25
379 189 68
410 749 7
50 90 41
148 745 8
444 266 68
318 555 3
836 890 55
309 560 80
539 919 99
427 858 92
134 619 38
743 664 3
978 30 67
907 88 19
755 996 28
3 17 98
379 414 10
944 915 97
429 611 72
882 970 73
136 192 17
588 614 65
414 317 11
369 811 39
334 640 7
624 693 68
182 663 15
41 894 17
268 107 53
185 660 14
76 435 59
115 568 2
82 308 35
788 450 90
355 714 73
256 79 80
678 856 45
383 582 39
548 652 13
11 348 1
575 49 97
830 385 5
832 843 13
560 333 19
994 455 94
543 225 52
289 214 51
634 344 11
260 736 38
164 376 51
662 132 4
339 394 89
377 469 52
162 552 39
357 172 37
736 496 17
476 99 30
216 51 87
450 423 23
663 750 72
234 243 54
900 901 76
222 796 12
403 917 36
371 191 2
702 89 23
57 599 49
55 540 100
162 382 10
511 631 71
476 708 2
169 589 53
17 573 51
343 521 91
175 934 48
750 112 52
695 815 16
472 610 49
730 510 88
169 524 27
206 463 57
943 5 86
125 104 66
371 506 54
589 870 90
73 739 86
737 706 8
196 819 2
746 248 41
433 502 23
327 645 67
1 460 65
713 757 85
443 627 27
890 898 44
143 22 31
805 184 46
56 390 37
106 87 80
221 683 47
616 129 13
773 144 19
792 954 84
317 307 72
625 37 79
191 351 19
714 942 71
463 893 26
19 569 21
562 181 47
569 482 65
55 354 2
355 105 97
472 880 66
4 609 92
631 446 53
905 78 93
599 762 95
518 319 2
44 242 64
911 889 69
418 949 60
889 989 53
482 527 25
39 417 18
909 782 6
798 760 21
394 507 69
501 838 12
10 793 98
802 247 25
696 825 76
870 925 91
216 563 43
909 292 92
112 337 87
69 453 42
353 964 23
492 661 90
971 731 5
276 985 44
375 459 52
842 314 86
89 402 38
737 534 77
773 42 96
317 356 13
280 363 25
564 108 53
189 240 1
112 235 19
146 873 46
13 620 80
469 209 82
313 227 90
418 350 55
307 647 7
548 413 25
608 701 44
651 990 71
610 448 67
187 875 25
755 188 13
322 928 87
659 36 88
359 178 77
966 987 92
236 367 46
966 161 76
681 658 25
958 505 81
753 253 22
256 786 82
843 649 88
982 384 88
832 980 53
663 860 10
601 160 80
447 959 56
601 373 24
726 158 48
362 101 83
464 32 51
722 547 78
232 897 5
339 152 93
960 804 75
141 628 53
679 126 20
975 692 33
888 906 3
999 508 16
713 969 61
342 217 25
44 810 72
129 220 9
192 844 53
427 425 53
116 461 74
352 835 68
842 391 81
330 434 54
558 581 42
341 759 57
1 257 84
151 600 16
760 498 20
359 269 55
582 97 60
967 43 46
429 347 13
194 131 37
198 744 77
523 204 28
267 908 10
129 16 90
1 913 54
733 1000 66
581 916 9
777 140 15
469 930 66
925 723 70
111 855 79
99 228 39
692 865 67
358 449 97
298 823 20
716 20 89
447 831 9
938 704 35
923 475 41
129 466 32
520 565 34
295 895 28
542 252 40
517 320 30
456 532 15
658 454 3
429 947 90
715 876 83
362 407 93
658 302 80
811 66 35
41 872 64
91 424 49
729 84 97
728 948 52
977 40 77
502 420 76
418 626 84
401 605 41
649 304 23
737 208 69
905 237 81
994 719 92
106 457 79
150 128 39
251 828 44
739 800 81
384 682 33
217 633 48
454 219 16
862 813 51
785 452 12
155 71 19
879 281 25
905 522 97
779 572 6
506 768 45
816 516 73
942 93 60
984 899 91
83 326 61
5 118 9
845 669 13
636 380 4
147 440 38
4 186 48
100 179 78
175 617 19
793 997 30
69 672 79
784 331 24
776 515 61
24 411 35
764 741 47
805 80 25
84 265 46
627 922 32
660 818 29
856 509 69
345 406 13
656 370 57
973 168 82
217 674 76
619 594 76
466 157 87
71 857 48
681 979 25
333 769 86
121 574 58
574 500 20
118 389 75
400 686 100
295 758 87
952 961 6
477 346 46
62 953 98
604 918 15
746 885 41
769 941 7
326 439 47
472 75 99
791 587 12
368 748 39
137 190 7
883 986 29
876 109 73
247 117 23
849 393 33
400 772 66
527 361 42
534 789 94
468 130 29
195 530 41
927 698 22
141 643 54
725 197 86
610 200 44
578 603 46
779 738 36
875 67 29
83 703 26
124 154 42
583 567 21
199 592 15
144 859 33
231 296 37
40 874 23
377 156 78
432 59 63
134 646 87
658 430 50
204 409 98
809 553 73
988 761 11
431 621 10
638 957 88
582 541 23
864 618 2
581 202 46
587 35 47
166 230 70
114 173 36
366 297 43
888 591 95
566 63 21
15 910 79
242 31 89
204 479 85
921 278 23
482 840 54
371 887 70
753 867 98
618 6 91
165 290 1
869 360 14
97 535 19
154 324 67
162 936 46
95 428 3
298 372 23
557 536 48
717 596 90
654 94 12
539 931 7
972 904 63
925 602 60
697 488 66
713 821 6
207 790 18
969 86 76
2 386 76
925 282 69
582 442 6
692 340 61
263 153 77
903 272 100
187 315 18
392 171 77
253 881 24
785 597 29
695 886 58
21 294 19
970 992 77
290 612 46
646 193 82
997 561 65
704 487 43
92 250 39
692 694 70
328 549 74
21 670 88
932 123 50
480 774 76
287 7 91
305 814 52
100 827 32
706 77 26
722 533 28
868 963 8
6 76
964 72
268 45
102 91
133 9
352 38
42 62
850 71
262 67
914 59
534 1
459 15
700 83
682 89
311 88
129 39
603 79
602 8
634 47
196 32
27 91
778 18
890 21
509 45
827 8
552 81
126 30
860 70
591 87
706 7
71 12
703 70
61 39
593 12
384 1
822 96
153 8
437 43
98 49
455 26
190 43
751 3
78 72
322 56
316 32
802 64
991 81
354 14
929 22
197 36
418 74
325 65
439 36
757 14
866 71
92 95
640 6
882 46
878 2
786 46
147 93
240 56
924 98
135 26
629 29
851 85
269 63
373 40
315 21
305 54
331 75
158 30
1 34
300 92
989 95
574 4
853 63
732 80
785 59
684 44
263 6
399 7
432 48
857 39
77 59
544 61
533 23
104 51
125 72
910 20
839 100
562 56
527 94
560 29
981 17
589 27
513 13
410 45
177 75
936 91
242 30
430 66
664 1
775 72
622 9
950 71
500 8
205 28
383 3
672 64
35 32
900 89
119 62
611 96
441 38
140 62
945 45
547 67
590 17
334 7
588 48
372 25
564 71
174 90
280 61
255 93
652 27
163 28
431 7
961 67
681 5
817 12
395 11
481 28
601 63
267 62
663 30
84 78
229 29
559 51
380 9
637 91
9 10
862 54
935 84
486 79
222 90
120 93
801 9
381 89
886 67
580 33
442 47
20 92
332 57
728 23
885 16
903 94
861 57
171 55
745 19
662 60
506 58
350 22
1000 10
596 23
746 52
510 76
842 61
266 96
931 57
578 62
157 19
309 74
38 36
341 50
843 51
754 33
433 96
626 48
148 4
404 70
198 91
627 99
600 55
175 75
550 83
351 65
484 98
673 26
415 80
130 2
742 95
219 57
915 54
281 75
362 36
275 38
319 86
668 82
176 44
838 94
546 93
412 62
306 83
310 43
2 21
569 45
118 66
426 74
874 55
679 100
747 40
449 45
730 50
403 86
677 84
511 67
337 64
112 96
243 3
753 92
938 92
943 32
881 27
123 90
772 5
734 82
913 54
867 66
674 91
958 40
818 9
971 93
727 18
462 60
257 28
678 4
286 19
23 61
565 94
250 99
15 79
4 29
494 48
90 97
425 100
926 50
329 24
824 92
579 6
714 77
545 33
955 90
507 34
658 58
554 46
618 7
905 60
847 14
949 26
704 19
608 57
925 97
184 96
471 36
583 71
429 11
756 8
50 89
699 20
779 64
686 84
46 49
919 38
685 72
897 54
888 96
65 43
561 82
639 2
994 61
474 4
873 59
36 45
743 97
784 73
168 86
402 53
131 49
615 54
526 7
392 24
811 88
465 77
285 43
136 73
172 99
836 82
986 84
959 45
276 37
645 2
79 16
371 34
201 96
612 83
954 83
553 76
962 5
152 85
575 21
56 16
142 94
768 75
227 48
417 62
203 46
124 81
587 78
744 90
202 21
819 35
848 5
504 96
458 88
304 32
519 29
386 83
186 20
115 100
646 92
723 19
595 66
665 21
64 69
180 87
226 12
401 60
724 87
189 58
960 51
907 62
424 86
644 5
691 14
233 4
270 16
694 24
899 89
803 86
893 88
374 23
490 19
729 98
438 92
324 50
86 18
650 75
463 66
713 77
289 52
318 37
146 39
3 40
902 67
194 11
800 83
427 21
423 90
528 28
69 45
218 44
217 65
869 66
551 54
538 9
788 7
361 78
55 89
52 51
985 17
923 58
167 17
883 15
308 79
144 15
636 31
388 63
868 39
116 85
771 67
323 78
688 43
508 21
44 61
369 59
428 50
100 52
975 5
765 75
436 98
947 52
911 8
540 62
764 13
548 63
978 5
525 80
238 70
287 31
210 54
340 81
849 7
73 58
833 14
647 20
492 100
368 52
993 35
472 14
288 42
134 1
570 26
701 5
10 50
879 23
349 46
717 53
400 61
610 58
638 42
752 91
780 39
872 45
951 25
14 7
796 84
515 54
185 79
12 75
501 60
687 13
17 46
411 66
738 35
103 54
613 15
794 53
812 78
499 87
572 31
204 16
807 4
567 90
766 60
709 74
302 83
89 99
33 4
259 70
25 66
105 41
346 73
475 42
7 54
200 66
599 29
829 6
497 39
725 90
984 91
406 45
165 53
854 6
225 94
420 86
996 17
759 70
906 33
330 54
138 99
518 39
782 28
391 39
823 35
542 57
182 37
656 94
973 71
299 72
733 36
792 77
820 43
224 22
447 46
821 72
632 15
113 77
831 74
770 36
482 43
692 5
192 58
968 23
54 28
760 60
236 18
927 7
698 42
520 42
234 18
452 33
941 78
483 22
279 87
739 39
731 77
32 4
870 93
283 61
154 68
88 12
970 35
892 92
317 28
529 29
816 7
81 96
977 13
37 14
239 36
790 98
974 68
705 12
479 18
216 76
737 63
220 96
394 3
855 70
716 36
558 67
585 20
810 74
908 15
141 3
987 88
875 88
416 91
291 7
767 12
557 63
697 77
301 29
535 52
972 47
389 5
212 63
265 26
549 93
514 34
826 18
397 50
444 67
107 59
396 4
980 10
864 75
581 45
460 85
815 8
598 68
942 87
282 38
80 26
169 69
928 37
983 75
740 80
735 23
342 2
99 61
495 57
750 83
256 47
469 35
649 67
128 43
111 88
314 6
161 1
470 47
370 66
781 11
884 68
844 15
711 71
932 92
969 26
29 15
22 99
774 46
19 92
264 6
852 51
321 100
363 95
307 99
377 95
990 95
597 15
877 100
132 92
39 72
480 2
930 53
939 75
464 5
253 63
521 34
523 69
606 16
87 63
191 9
516 100
967 68
835 1
5 64
248 83
91 49
446 81
57 96
621 52
832 37
41 75
710 69
348 41
532 17
769 55
654 77
366 15
660 77
840 80
604 70
707 94
347 98
150 2
573 58
478 73
671 27
635 56
24 84
498 77
948 54
339 43
