5000 3628
1570 167 73
3124 643 75
1754 4945 99
3150 2877 20
2502 3440 45
2094 3975 32
3393 4514 15
4325 4826 33
1332 2584 90
3980 4 34
4752 4556 41
3977 475 33
3664 3136 34
142 3796 52
314 504 5
1965 950 73
450 4438 86
4083 1851 72
4796 3253 10
321 3556 9
475 3161 24
4464 3096 48
31 1622 89
979 1348 55
950 3903 20
4945 252 48
4083 1947 22
1140 681 3
2540 4755 13
273 3541 24
3990 1444 91
3095 212 68
1622 733 77
4233 1169 26
1905 135 92
2980 1803 52
1622 2805 85
2584 1177 62
3977 1553 76
315 2058 35
3740 1243 7
458 4403 13
4945 280 30
1622 3601 1
2857 4232 71
4033 211 58
4074 819 66
1947 1728 9
3740 1738 96
4083 2638 14
4244 1050 65
3179 177 86
2638 2117 37
4966 3065 70
956 4088 18
442 2879 86
3427 1090 79
4083 4099 57
3948 1438 60
488 4063 78
450 4707 96
4115 1136 85
4200 3401 46
1728 4229 92
3183 3465 7
2554 3330 59
2656 3402 46
3740 1370 94
3819 2511 12
950 445 47
212 1325 10
4030 3278 50
4655 1924 16
3381 4888 55
4851 3074 43
2080 4402 24
3253 4735 79
4755 2087 62
979 1835 29
4200 4329 43
4402 4675 36
4678 1840 34
3278 1379 31
1300 616 5
2606 3943 83
800 3916 90
315 268 95
3065 1242 80
981 4789 92
610 2256 21
3903 4494 96
979 3154 70
2540 194 91
1530 807 96
4083 4037 15
4494 1227 32
3916 3890 24
1947 3019 41
3943 3280 73
3393 1880 67
3019 1469 20
4325 1044 91
1570 1412 21
236 2994 16
643 1715 63
3990 857 11
2256 3353 54
3427 868 16
2632 1091 70
2656 3887 3
285 4662 65
458 1449 7
4016 4412 91
252 4538 30
3980 136 96
1670 2246 68
1622 4174 29
1370 1485 89
640 948 35
647 1464 100
1924 2037 92
2723 1896 56
643 3509 92
177 283 64
2249 4311 10
2697 4399 66
211 641 17
2879 2620 44
3402 4825 75
747 771 31
4825 3928 43
1091 3647 34
4343 4987 57
641 225 35
1464 4420 100
2980 4243 69
643 4575 28
2502 689 95
1622 4309 27
1325 328 36
4851 2530 84
1851 3606 22
3650 1303 79
616 3670 66
771 4580 16
4707 2306 10
1214 3656 27
681 1987 22
1091 1283 75
4348 2629 71
1140 2206 8
3479 2631 95
315 2925 41
3443 2462 49
3150 3020 7
3154 441 63
3402 2248 75
4899 720 77
3979 4110 66
450 1311 43
625 4767 88
4438 3515 17
325 2435 19
4556 1397 100
4826 694 64
2540 1276 38
800 2163 25
3887 1891 4
3840 4090 92
2306 1926 61
4556 414 49
647 3885 80
4033 2355 64
1397 3390 65
3979 2802 58
4331 4344 74
3979 1367 1
1905 2514 24
522 4235 11
1835 3373 66
2260 4001 3
3890 4573 6
4655 763 61
3054 3908 2
956 2432 83
4233 4394 84
208 490 35
2432 938 35
4033 1149 64
720 1531 47
2592 3966 21
3515 3283 53
1715 494 96
2514 2958 28
2980 4488 9
4867 4784 35
2592 399 9
2638 2701 6
2606 448 54
3928 4511 13
2268 3554 20
321 2791 47
3990 4589 62
4488 2262 65
4573 4594 99
956 2352 49
3656 1773 62
1311 4654 86
4899 2315 64
616 3302 63
1332 757 66
1428 1868 8
4589 2825 5
4343 3703 1
4384 4338 87
1803 3407 99
1397 4572 59
4 1980 14
2736 2930 43
2249 3566 74
3566 4002 1
3095 940 26
1276 1334 31
1063 3534 51
3664 4919 28
3977 2110 95
4235 2633 5
938 777 83
3916 2107 82
480 1330 70
3095 3119 71
504 4902 83
1738 3281 57
3985 3654 18
475 1215 46
315 960 27
2163 2570 95
4394 4882 92
1177 2520 32
4427 3000 32
2686 3724 71
2570 4916 49
3922 2170 73
450 3848 59
800 977 100
2703 599 21
2877 502 44
211 2277 64
4325 4044 74
4331 4600 20
208 4698 63
1090 2194 61
4494 240 29
4325 2605 55
647 2928 59
236 1096 40
640 4608 91
328 304 68
2805 2218 6
625 4234 87
3395 3860 17
2980 4337 2
1670 974 94
4975 1106 67
1840 2036 3
771 4274 40
3860 2781 44
3922 3356 1
948 2130 1
3606 2478 12
689 4222 45
488 2318 63
3534 1142 5
189 339 20
948 2239 45
1243 2463 65
3656 2929 24
3990 1321 73
4427 4270 91
4789 2373 71
2130 1522 96
3353 2431 89
3356 91 97
2877 4687 74
3204 1588 25
1286 2323 61
344 4187 89
4090 1098 28
4575 1366 70
1522 4938 73
2260 4066 14
4888 2962 18
3443 4881 18
4181 232 52
3860 347 25
3572 2984 33
2130 2397 81
2511 2739 82
3819 1252 45
2277 4357 97
3566 571 93
1831 3866 93
3873 1421 28
4975 4508 78
4115 2696 25
3980 535 92
2723 781 72
424 3348 10
819 3331 61
2958 467 46
1303 842 23
3980 1665 93
3928 4095 99
448 601 47
720 4800 74
400 2403 67
950 4973 57
450 4057 84
2928 1338 10
3990 4136 10
3373 1211 66
4001 1708 21
2194 1808 75
1728 1858 66
1738 3329 88
1444 1504 42
2218 2275 97
3975 332 38
2929 2150 23
4767 3231 65
807 3716 50
3158 1627 63
4514 1933 18
3479 2864 54
488 1718 34
977 417 9
1715 3733 77
4575 4932 7
1622 2808 8
3873 2321 75
647 626 6
167 1683 57
236 3906 40
3000 3869 27
4594 1150 23
4767 4591 27
1090 712 76
1210 2700 46
4139 3879 48
4348 2838 70
4544 2272 48
3465 3180 86
2087 1967 31
4088 1353 78
3614 3550 51
177 3936 84
4115 3258 21
2036 151 52
3906 171 89
2218 2296 66
616 410 75
601 4144 54
1851 2202 79
3402 988 65
3980 828 1
2703 3252 55
2700 2993 20
2277 1479 78
480 1795 43
285 4261 72
3465 2183 93
151 4559 4
1316 3854 7
480 3309 35
2940 885 27
4851 3710 41
4826 4162 20
3329 4813 75
4591 1165 7
4181 2109 63
2701 4684 77
3443 2852 83
974 1555 46
4975 4631 80
4030 831 2
4384 4721 8
747 4101 27
3136 2814 78
940 482 31
3158 3336 79
2306 1163 99
4929 2544 69
1858 2453 12
1479 1993 48
1334 513 4
1421 3220 40
625 3741 95
3719 3106 95
177 2286 91
3283 4539 11
414 2006 57
3331 4566 9
4721 4978 18
640 4854 65
1136 3379 93
3740 4815 45
2373 2045 42
733 470 74
4508 1927 90
414 2189 74
3848 2524 56
1170 4287 5
807 3688 81
2514 4445 71
3572 1785 32
3331 2692 19
2306 115 63
3443 652 33
1464 1597 5
3936 2898 49
3724 787 15
4222 1936 28
712 287 18
712 4306 73
2864 3989 86
304 4012 46
3287 3490 37
733 766 13
4573 3713 46
4001 3571 68
2984 4596 94
4244 875 27
2290 2899 45
1936 356 86
189 3781 34
285 4098 41
4572 3191 11
356 1494 8
2130 3423 14
4309 3982 17
1831 3448 18
3922 4565 55
979 592 44
1553 4029 13
4882 4896 31
2696 1671 16
31 214 72
4919 3350 29
2511 3691 14
4002 4877 63
1905 1975 70
2686 1034 83
831 1016 74
2739 2152 52
1851 877 7
3975 2129 20
3554 3474 50
400 1698 48
4877 1426 10
2248 1672 14
4427 650 47
4016 5 77
4494 3254 21
347 1102 93
4029 3057 44
442 3630 2
3490 2025 17
1851 2562 14
1965 68 30
4331 4941 15
1106 4612 87
2863 261 62
4063 3317 8
3922 1460 64
136 2788 77
3136 4898 29
4044 1566 71
400 3905 21
3994 3195 18
1530 2950 25
3158 359 91
4399 539 96
2909 1062 6
513 1008 77
1330 3271 75
3096 2600 54
3553 1661 67
1149 2754 71
4101 2229 35
1150 4267 5
2189 295 68
3948 718 1
2130 2009 50
2286 345 24
1933 2627 13
1803 2388 89
1672 4379 44
467 1319 20
2323 695 60
2925 1939 50
1570 4359 84
4916 1306 14
807 3816 72
1428 3304 29
1102 3199 99
1063 4176 26
1319 3351 3
285 4389 83
4101 3849 92
2432 2289 100
283 3681 73
4514 4804 65
2530 266 93
2248 4473 84
3691 3028 58
1370 2690 51
694 1209 44
1008 318 39
3252 833 90
2877 4326 18
2094 2338 19
625 2543 86
3670 4352 92
1671 587 62
689 3072 29
490 1596 6
4445 4599 5
4857 1236 84
1566 243 46
626 1337 47
4244 2029 66
4513 210 63
2925 3529 100
3670 2660 40
2852 4111 54
467 1755 60
2788 4112 80
1092 534 46
4044 1125 38
2432 851 76
766 2671 70
4420 784 67
1494 1246 36
4394 3219 38
3356 1577 87
214 3048 39
4881 2231 19
3566 4395 67
2321 2126 99
4973 3900 21
819 2244 49
151 4120 16
2306 4961 19
480 1256 82
4631 4188 94
1337 1257 88
328 3458 7
2940 3698 32
4932 4870 51
3854 4581 61
875 803 58
4098 4281 64
1243 1545 30
2318 3587 79
3381 4077 20
1708 1296 40
1426 1776 52
1803 2745 64
1693 7 68
784 215 25
4888 2983 77
448 3830 70
2397 3484 70
4813 1176 52
2511 1569 37
1671 921 75
4037 4621 82
4234 2953 34
1926 3846 87
2697 1848 30
4591 728 84
194 4937 90
2109 4613 30
3490 2179 55
4288 765 55
1485 2421 100
587 462 10
3866 3142 9
3154 4211 42
2701 636 16
1504 4292 76
4120 3024 1
3624 2167 77
1163 711 99
4403 3347 93
1426 4858 25
2745 3212 52
4112 4611 35
2825 692 43
467 1739 50
3846 1354 27
3553 2300 41
2929 2428 33
3553 3844 12
3719 4125 78
2993 4986 65
2373 3453 61
1555 1705 69
4420 2747 89
3614 278 81
1597 4050 27
2754 1548 58
765 4793 81
91 2032 4
4511 1175 5
2179 862 98
4095 2479 56
2958 4374 69
2899 3970 10
3136 1528 47
414 4878 19
2479 179 4
4389 4465 63
940 4683 80
4244 2847 81
4877 1389 83
252 3545 31
988 4146 17
1337 336 97
2511 4158 20
4755 3022 16
4675 4797 1
1348 721 5
4796 89 69
4288 4297 33
3373 3338 51
3982 4157 78
697 3574 31
450 4855 58
345 4533 94
2671 2075 36
3199 4289 56
4600 2033 85
2025 3452 31
2479 4647 50
1163 3270 41
3819 4255 1
2994 816 15
4066 1489 66
2877 4595 34
1967 3306 23
4420 1468 99
4594 2144 82
4789 4782 29
1337 3415 4
3916 686 21
3688 3207 86
4464 338 26
2373 814 51
5 4477 42
2248 2368 64
136 682 10
711 4397 48
1530 174 52
4083 2711 28
2037 2390 56
814 1420 14
3556 4955 55
2129 3007 70
4877 3935 11
4511 2937 86
2260 4018 56
4762 3639 96
2745 3097 54
4508 451 60
3390 4499 9
1354 3127 86
1210 617 82
979 99 83
215 156 84
4384 4794 71
3860 65 27
4538 4225 12
3258 4839 78
877 4912 43
2290 3497 93
4438 4802 36
3906 1123 36
697 165 90
1210 2587 3
488 78 76
4877 4787 92
977 1006 72
3401 2369 6
2033 4900 61
4978 2518 60
1933 1396 39
4174 1687 91
4581 2002 71
1150 4239 94
4647 3874 45
1008 740 100
3566 2640 59
816 3722 77
1698 1938 45
2152 1430 91
2094 3470 53
211 4219 47
3212 3105 21
4575 2933 4
3072 4661 13
1125 3727 18
4012 1775 62
3287 1171 44
1394 3804 31
2462 440 25
2921 815 22
601 3759 6
3796 3342 73
1256 3632 67
3074 3712 21
1924 387 60
442 3567 29
2126 389 70
3484 1119 89
3664 3946 50
347 4290 76
3317 2166 5
1330 2837 6
4287 2926 86
601 669 75
3258 3422 24
345 390 16
4099 546 52
3574 1173 56
1062 3729 79
1177 4636 28
3000 2913 87
3402 699 23
1332 506 100
2696 4432 15
2852 52 67
3393 96 74
2592 1414 25
3922 4307 98
3458 745 40
1577 4474 32
1987 38 100
1246 2138 46
4591 3611 78
885 4913 44
4636 839 100
3534 3148 4
1754 514 54
3698 2897 95
1426 2141 67
1808 4456 37
2296 3436 63
4762 1549 76
833 3481 8
3741 3345 5
1389 3701 84
4176 4201 4
4631 3223 88
2183 2165 6
3908 2948 54
1354 1758 90
2246 3832 83
2244 3118 22
2808 4218 15
2431 4259 61
697 671 58
1627 676 20
2814 3017 48
4218 3044 37
1553 2851 73
3816 863 75
1227 53 77
2256 612 46
4966 1278 12
3338 860 84
2036 3349 90
3119 945 40
504 3364 32
4514 330 80
1353 3425 63
4066 2639 5
2229 3299 78
347 416 83
4337 4765 58
4955 4448 74
4187 3273 39
4464 1109 69
3574 175 77
4412 644 91
4274 526 88
2978 3959 32
2814 2320 55
828 920 28
4661 4263 94
697 2753 17
4033 4838 91
4281 901 40
682 2389 50
1396 2304 27
2075 947 37
2318 4535 67
3019 936 90
4331 1386 38
3990 3730 37
3273 4071 83
2962 2904 100
974 2420 49
4359 3584 65
4445 4339 76
3212 146 60
2524 1942 41
3106 1315 1
2029 2452 88
389 1069 24
3479 2208 93
2584 320 40
2606 349 5
3490 1478 44
3212 1133 8
1008 2258 64
2692 216 50
2189 2488 37
4288 2228 90
4580 4468 82
522 989 83
4432 4418 100
1211 3051 32
517 2708 60
781 1323 36
4402 3723 16
4232 769 11
3212 1333 28
699 913 57
4063 4260 25
2984 3988 9
2690 2922 68
3019 1925 83
1379 867 38
4201 159 100
3309 486 84
3698 812 49
4826 1516 43
4511 569 7
4181 2576 69
304 753 11
2431 1928 17
1354 1324 7
3730 1439 54
4825 2910 10
2899 510 16
833 1427 86
1708 1413 84
96 3357 65
938 1532 32
718 1636 50
2087 17 20
3254 2571 14
2126 1225 79
1569 4931 75
177 1196 89
4095 4227 88
4402 3839 73
4110 4807 8
3309 732 6
2286 1340 54
2275 1429 30
3553 1377 92
3402 3457 46
4488 178 74
2403 4171 6
2428 1078 98
4599 184 4
2373 2674 54
2320 4041 36
410 2772 96
211 355 57
440 1164 79
2206 2653 28
1661 2599 15
3545 1155 75
214 582 43
399 1141 78
4858 4275 69
1868 1578 78
4573 707 54
2606 2353 65
4654 1764 49
4900 1099 59
4621 680 44
2420 1113 29
2036 1219 57
3207 3290 13
1489 2975 83
2929 3122 77
753 1264 54
1421 1777 23
1755 4298 89
4867 729 63
3331 435 58
2520 333 1
4158 825 61
1311 1554 41
320 1190 16
417 4354 86
2353 2114 33
2692 1748 49
494 1913 75
1444 4014 7
616 1410 52
1705 3434 49
1209 1344 68
2863 1454 43
356 187 54
4902 1594 81
765 3316 89
494 2439 86
3601 3528 44
1428 1563 28
3106 548 82
3982 3450 33
3839 1794 5
189 1027 24
3716 3563 67
3885 4182 10
510 1544 17
2075 3594 99
3594 4246 57
424 1284 12
1426 1844 44
1175 1985 13
1366 3777 43
3541 3435 41
4275 4269 86
1563 4710 38
4826 2097 30
4338 2155 5
4298 3248 30
3979 2042 16
3554 3675 85
4647 3165 83
480 2651 73
757 2730 10
4636 1774 60
4654 3833 26
3248 3375 53
4432 2525 92
1394 4527 81
4243 2116 67
4575 133 24
2453 1498 97
2700 4482 96
1516 1786 65
3273 3451 95
3975 1911 85
1516 1828 89
763 1725 26
214 1204 47
336 2017 14
315 3862 96
146 4350 61
1059 209 38
390 1816 62
1078 1076 7
4044 3732 10
4389 2475 91
2475 1424 47
1163 1270 38
3154 1874 66
3270 3380 73
345 1753 49
2229 982 12
1570 2756 40
1596 1912 3
53 4450 90
4855 1051 36
2318 2521 32
2428 1015 44
3281 3689 39
4474 2875 65
695 4646 83
4325 3213 15
4397 3539 42
1835 1852 69
4144 2954 4
3906 2055 76
781 1733 55
480 2414 31
3832 2509 63
3065 627 41
4646 2448 35
2633 2655 29
2116 1128 9
4307 2552 75
2277 2844 39
2248 1422 2
2097 1625 38
1270 3082 92
828 3005 90
548 4505 78
3316 3573 74
711 1154 57
4412 978 78
4580 1406 54
4919 2907 60
860 75 39
807 1281 35
3977 459 85
3639 600 83
3740 3059 92
828 2221 27
1936 4873 90
475 1451 93
571 2603 94
2692 2314 33
1924 3575 74
4661 2698 18
17 381 9
4260 4134 44
1427 3963 67
4222 894 37
1728 2625 36
4941 547 41
3299 2901 2
831 1436 35
2166 4561 31
283 1769 58
278 4492 77
1636 1955 22
4281 2891 50
4083 1511 99
2525 107 1
4063 3658 94
699 1615 27
4188 2702 58
3440 2718 58
3862 1416 1
1214 1686 19
1844 553 41
733 1538 49
4379 3769 14
4898 2171 69
3299 1909 37
146 1789 98
3287 2623 85
2711 4166 34
1967 1870 50
3024 3834 39
4292 2868 73
3127 1998 37
142 1623 53
600 2285 21
1125 896 23
1406 1587 100
4572 2076 36
1942 3205 13
2218 2374 91
2165 3679 72
4464 4740 55
4654 926 51
4898 180 50
3161 4333 48
2814 4049 18
4235 4724 90
4855 2767 5
2275 1251 35
3453 4322 19
3556 2763 44
2897 3913 3
268 4666 16
3329 2282 83
3550 2896 14
4234 844 22
4418 193 74
3353 120 30
4796 2225 54
359 2809 95
2570 4889 56
2323 2419 43
4326 3094 50
2130 1994 95
1366 1019 4
1532 1372 38
1625 3264 38
3630 1981 88
4235 3112 83
4037 3420 25
4870 2193 22
4269 1644 77
1985 2717 42
3434 1929 12
4016 4526 83
3401 2271 58
2289 245 94
676 2504 32
1926 1557 40
4445 3188 12
617 801 50
1785 401 74
2032 760 86
3183 3239 18
643 661 76
2002 1053 54
3253 937 41
2144 444 10
745 792 76
1925 3340 97
2837 3367 29
1171 2013 71
534 1934 39
1154 1153 3
989 1533 30
78 1542 57
2788 3663 70
1337 1659 26
3716 2947 21
4987 1737 19
4222 2186 20
2913 83 20
694 4236 27
2660 4590 25
4477 4301 50
4227 3146 56
4222 1869 17
3946 8 34
3741 4401 69
1300 660 30
1123 14 82
243 2499 8
718 2198 23
4181 2945 89
2953 3589 81
4456 3487 35
3732 3181 84
868 4172 19
1566 2746 58
5 3461 58
2933 3110 32
4044 1834 49
2388 2120 41
3614 2538 87
1683 1457 32
2170 2725 27
2321 3010 43
1325 4304 83
4511 4161 24
4535 2872 1
2600 3693 14
2926 1783 17
819 870 12
2369 959 59
4348 2366 21
400 1689 75
506 2826 97
977 128 2
1926 1675 11
3183 3807 22
3218 2358 22
1532 3717 54
1644 4005 38
4090 42 9
3713 3441 73
3148 4377 12
2055 2608 85
1485 4516 11
974 300 39
4098 3508 88
2514 3907 89
1998 2451 50
4465 2494 72
2315 1115 96
1426 3066 9
3381 3166 86
718 2604 18
1386 224 77
3331 2022 84
1332 2119 3
3373 4089 21
171 3083 92
2753 3911 37
4913 4024 100
2980 570 26
1128 4994 50
4074 3228 18
1420 3871 94
644 3454 100
2702 2501 29
1494 3843 27
4200 4709 58
1019 3552 77
3843 3444 86
800 4323 17
2119 373 100
381 2759 7
1913 3941 94
4297 183 55
2262 290 77
3688 2761 87
1406 4214 93
948 4764 11
4101 3751 45
142 2650 35
278 3536 1
1257 4944 6
2431 515 87
1225 1919 88
1532 2831 37
387 1937 89
825 1068 31
2239 4918 81
2202 3108 20
3497 3692 48
1925 3845 56
236 2496 2
494 2057 60
2496 3185 69
1283 1599 43
2571 4440 87
2600 1188 36
4572 2555 49
686 4149 76
2290 2335 19
4881 2020 100
699 1551 30
4937 2559 62
682 991 19
4826 607 70
1150 3993 99
3231 453 29
1410 3215 87
211 3525 26
266 2793 81
146 579 70
936 4008 4
1214 4154 91
3248 2345 23
913 2487 1
4235 4340 9
4687 2955 34
2576 2400 23
3427 4194 37
2403 2430 63
4539 2133 31
4526 520 4
3401 340 89
1276 4831 72
2389 1914 11
3484 578 90
1928 3117 41
2603 4069 100
3573 4283 48
4002 739 9
2277 969 98
3280 3838 55
2772 2957 79
2129 3983 47
1687 1893 28
3614 2380 10
2275 2574 36
2126 4159 23
107 3227 92
1311 4609 43
4337 1035 77
1531 3149 2
3804 3147 71
3650 4563 61
3943 1989 97
400 2160 97
3180 4497 71
4945 3015 76
1325 1637 34
2877 2935 12
304 405 27
3484 536 35
3994 3820 9
4389 1233 16
1016 4555 37
159 1552 22
179 4017 51
2524 4461 66
4188 152 48
535 3275 73
2781 2734 24
2935 2575 41
2321 4385 15
3148 2310 17
1998 4703 70
1169 3194 5
2638 3428 11
3959 2209 16
3866 3800 65
2290 2952 13
3614 551 68
1366 990 84
1113 3516 83
2574 2866 62
2268 4692 12
2638 1959 20
3722 4630 5
781 3631 75
2940 2480 65
325 3483 23
3719 3344 61
91 813 91
3044 2889 41
4176 631 59
2258 4487 40
553 622 42
344 1345 84
1333 1804 66
4359 4207 47
522 2778 61
3688 3298 66
3935 4113 90
1914 4868 83
4144 109 42
3703 1047 44
1283 269 31
3119 3680 35
3553 2405 54
989 21 37
1670 4293 92
2389 4145 10
4340 2817 27
3712 47 24
1776 4842 78
3994 1075 34
4631 4753 62
1106 323 99
2290 3255 7
4854 3520 33
1257 4730 46
2708 3878 3
959 2712 100
4172 859 65
442 3770 88
4492 2583 2
2952 4178 65
4450 3251 65
435 752 61
2857 219 61
859 3858 81
4899 1647 58
2353 508 21
4304 876 67
1468 1157 59
3903 2054 32
3680 4837 40
2272 4458 87
2352 3438 68
3777 2894 67
960 2614 99
3255 976 81
2686 4052 5
1852 741 88
3913 684 98
1078 1767 66
3834 2963 15
2926 3889 60
445 4635 4
2209 379 66
1454 933 34
4767 4531 16
781 2470 91
4322 1724 3
2518 1073 49
1215 1944 92
3854 748 33
3082 3635 44
135 3940 80
4420 4150 80
3223 4107 8
2587 1968 20
1919 1746 99
3112 4197 66
3051 138 65
4654 4640 92
4281 782 96
2268 3558 9
4057 3362 18
4311 563 27
1623 3956 68
3451 1304 57
445 737 19
2746 4682 51
3270 3610 29
1098 3625 95
3594 3707 1
1909 1836 26
2428 3933 1
3298 4729 65
4157 3734 55
1426 673 76
3545 4405 69
3048 719 27
2285 1387 96
304 4078 68
315 3046 74
2432 16 83
1092 559 63
2222 1873 49
287 903 36
2574 2313 41
4297 3774 40
2772 655 16
280 658 26
3474 1633 42
539 4169 91
3094 567 21
4873 3214 79
2094 3242 80
1348 4378 2
3207 1327 42
2069 2489 91
1422 301 46
3729 4192 58
109 257 41
3281 3646 29
1808 4859 71
4418 88 71
4646 3098 69
655 4998 62
3074 2140 26
680 3366 17
4857 3999 39
1155 4028 53
4831 3579 62
1068 56 3
4374 1147 30
920 4015 19
236 953 32
2754 337 32
490 3125 49
2930 4221 32
3470 664 27
4090 848 20
945 4639 76
3428 538 97
4283 1093 83
1549 4335 44
2954 3763 66
2877 1649 53
989 3991 81
3060 427 42
3306 4795 75
4267 3986 84
2576 3794 83
711 759 64
2453 2427 47
175 1228 58
2697 3540 41
3124 2647 1
399 628 52
1119 3408 2
2570 4676 90
1243 4923 29
1615 228 8
4354 2628 81
3219 4843 56
3587 852 22
1708 3482 45
4078 1385 52
301 4073 10
4359 3102 29
536 4534 8
301 3620 96
167 1197 18
4270 234 81
2955 826 47
4655 423 73
266 2060 53
4348 688 33
1795 4728 29
4499 380 92
4399 370 97
2638 3597 79
2488 1935 80
1283 1294 71
1430 3672 24
4292 2406 16
3142 2442 7
4235 928 84
2922 4009 51
4740 1055 61
2793 1631 34
4912 1600 15
2057 2834 49
514 2291 50
4269 4065 6
3270 2609 62
390 3735 53
4077 602 71
4580 847 62
4015 4890 24
1460 908 44
330 2331 99
3379 1546 64
2116 4907 42
2198 4833 66
3378 3361 67
4159 4964 83
1868 1768 71
991 3310 99
4159 1487 16
3878 3517 59
91 4156 63
1 1539 16
2374 276 48
3465 4604 26
2470 3826 89
2963 4711 27
4938 3754 19
4640 46 33
389 3996 32
3219 3593 52
2993 1365 83
4599 2758 81
661 412 96
3146 1699 88
3122 2092 75
3452 3818 29
4270 1356 5
1545 86 18
3270 2027 32
269 1895 98
2036 797 55
4765 1510 18
156 3388 32
4089 3071 26
559 1811 90
692 1314 89
3614 1031 44
3096 1425 74
2435 3835 88
194 2071 45
3345 1501 89
1840 4241 19
1154 898 64
3866 3697 38
1197 804 61
3185 1313 52
1233 3897 71
3741 4679 100
5 615 60
641 3560 50
3869 1404 14
2814 3644 79
3028 1292 74
208 3746 14
1777 4880 92
318 3476 29
3228 4949 95
1164 3011 70
4804 4305 47
3693 1012 86
2922 3305 96
4150 2693 60
3988 2216 68
4539 1634 29
1869 4266 8
1670 1483 15
4218 1272 45
4456 3568 11
1873 1232 34
1803 60 95
4740 3828 82
269 2023 55
219 527 7
1551 2175 91
1125 3175 73
926 2324 81
4675 305 95
2453 1400 37
2109 292 3
4146 2916 30
448 1822 87
1348 29 84
4326 767 21
847 3660 81
3213 1567 3
2310 1299 78
2275 374 73
3214 2841 7
767 2539 18
3713 316 24
1413 3041 95
3191 840 48
1133 309 36
3781 2551 69
4683 2349 31
4159 3073 44
800 1799 72
1140 489 66
644 2309 71
3427 2151 4
517 4226 60
2993 1490 1
2894 4875 33
3306 4087 83
3254 161 4
4735 3549 6
416 3029 85
797 4216 7
232 241 68
2130 4167 96
1647 1606 51
517 71 51
318 3914 10
323 1709 66
4764 2122 50
797 1146 20
2313 1224 59
480 4743 95
4235 270 15
4090 1741 21
4049 3609 49
615 3971 71
3701 4546 40
1050 1041 75
2872 1192 95
3703 3687 1
1783 311 20
1504 3582 64
1501 818 77
3860 717 62
933 2716 99
1795 4086 86
1196 2299 16
370 1172 30
1444 1734 64
2530 3335 66
1912 698 46
2631 2519 45
209 4510 69
801 2880 31
3378 2365 51
3698 2887 49
1959 3850 21
3844 2464 47
1242 79 53
4200 2635 43
1102 1135 79
3356 1864 63
559 2951 7
232 62 85
3041 4447 78
1149 4927 90
2650 1984 96
1769 2503 99
1372 4314 59
610 3485 98
2397 2252 4
1936 1612 63
1429 1275 97
1844 2342 94
4767 3760 62
3922 1168 83
4403 2461 90
1397 4228 43
224 3634 89
4692 4770 10
381 260 62
3680 1930 26
2094 2626 35
1851 838 98
1831 3200 41
2963 1743 49
950 3683 64
3367 1960 49
2282 2976 12
4178 1437 14
3490 422 98
120 3419 82
2129 3012 36
3607 2533 5
2638 912 92
4458 2424 84
